component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,Speech_str,Year
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington_1790.txt,1790
0.0,0.0,0.00333,0.21736,0.00167,0.0,0.0,0.0,Washington_1791.txt,1791
0.0,4e-05,0.00137,0.20895,0.00449,0.0,0.0,0.0,Washington_1792.txt,1792
0.0,0.0,0.00286,0.17926,0.0147,0.0048,0.0,0.00815,Washington_1793.txt,1793
0.0,0.00131,0.0,0.17609,0.0145,0.02019,0.01649,0.01335,Washington_1794.txt,1794
0.0,0.0,0.0,0.21735,0.0,0.0,0.0,0.00058,Washington_1795.txt,1795
0.0,0.00454,0.00063,0.26582,0.0,0.0,0.0,0.0,Washington_1796.txt,1796
0.0,0.00254,0.0,0.23151,0.0,0.0,0.0,0.0,Adams_1797.txt,1797
0.0,0.0,0.0,0.24139,0.0,0.0,0.00227,0.0,Adams_1798.txt,1798
0.0,0.0,0.0,0.21386,0.0,0.0,0.0,0.0,Adams_1799.txt,1799
0.0,0.0,0.0,0.18685,0.0,0.0,0.0041,0.0,Adams_1800.txt,1800
0.0,0.0,0.0,0.2221,0.01934,0.0,0.00553,0.0053,Jefferson_1801.txt,1801
0.0,0.0,0.00597,0.20559,0.01042,0.0,0.0,0.0,Jefferson_1802.txt,1802
0.0,4e-05,0.00187,0.20015,0.0,0.01769,0.0,0.00477,Jefferson_1803.txt,1803
0.0,0.0,0.00231,0.22172,0.0,0.0,0.0,0.00129,Jefferson_1804.txt,1804
0.0,0.00797,0.0,0.22338,0.00775,0.0,0.01159,0.01038,Jefferson_1805.txt,1805
0.0,0.0031,0.0,0.2267,0.00283,0.0,0.00654,0.0022,Jefferson_1806.txt,1806
0.0,0.00264,0.0,0.23209,0.0,0.0,0.0,0.00919,Jefferson_1807.txt,1807
0.0,0.0,0.0,0.23092,0.0,0.0,0.00864,0.00097,Jefferson_1808.txt,1808
0.0,0.0,0.01176,0.20291,0.0,0.0,0.0,0.0,Madison_1809.txt,1809
0.00106,0.0,0.00397,0.24868,0.0,0.0,0.0,0.0,Madison_1810.txt,1810
0.0,0.0007,0.0,0.23322,8e-05,0.0,0.0,0.0,Madison_1811.txt,1811
0.0,0.0,0.0,0.23717,0.00126,0.0,0.01973,0.01671,Madison_1812.txt,1812
0.0,0.0,0.0,0.20575,0.0,0.0,0.0422,0.03729,Madison_1813.txt,1813
0.0,0.0,0.0,0.16632,0.0,0.00515,0.04555,0.02508,Madison_1814.txt,1814
0.0,0.0,0.00873,0.21996,0.0,0.04812,0.0,0.0,Madison_1815.txt,1815
0.0,0.00384,0.00433,0.23812,0.0,0.02809,0.0,0.00092,Madison_1816.txt,1816
0.0,0.0,0.0,0.30065,0.0,0.00536,0.0,0.0,Monroe_1817.txt,1817
0.0,0.0,0.0,0.28618,0.0,0.0,0.0,0.0,Monroe_1818.txt,1818
0.00896,0.0,0.0,0.28268,0.0,0.00525,0.0,0.0,Monroe_1819.txt,1819
0.0,0.0,0.00568,0.28563,0.0,0.0,0.0,0.0,Monroe_1820.txt,1820
0.01523,0.0,0.0,0.31112,0.0,0.0,0.0,0.0,Monroe_1821.txt,1821
0.0,0.0,0.0,0.31289,0.0,0.0,0.0,0.00082,Monroe_1822.txt,1822
0.00549,0.0,0.0,0.31848,0.01033,0.00639,0.0,0.00141,Monroe_1823.txt,1823
0.001,0.0,0.0,0.36253,0.00125,0.00806,0.0,0.0,Monroe_1824.txt,1824
0.00262,0.00602,0.0,0.29164,0.03259,0.02291,0.00246,0.0,Adams_1825.txt,1825
0.02158,0.0,0.00813,0.2836,0.0,0.0,0.0,0.0,Adams_1826.txt,1826
0.03036,0.0,0.00486,0.28956,0.0074,0.00431,0.0,0.0,Adams_1827.txt,1827
